ID,Quiz,New_Score
6635111821,5,6
6635111821,4,5
6635111821,1,8
6637505421,3,7
6637505421,5,5
6634022121,2,5
6634022121,4,9
6634022121,5,9
6635444921,4,5
6635444921,2,6
6635444921,5,6
6635444921,1,6
6639232221,4,8
6635321621,4,8
6635321621,2,9
6635321621,5,6
6634264621,3,10
6635404821,3,5
6635404821,1,10
6635404821,4,10
6635404821,5,7
6635730421,1,9
6635730421,5,9
6635730421,4,10
6632235521,2,9
6633953121,1,8
6633953121,4,8
6633953121,3,5
6638427421,2,8
6638427421,1,8
6638427421,5,5
6632456121,4,10
6632456121,3,9
6638864821,1,10
6638864821,3,10
6638864821,2,6
6632462421,2,9
6635645421,5,5
6635645421,3,8
6632757221,4,9
6632757221,3,6
6632757221,2,9
6636804421,1,7
6636804421,3,8
6637828021,5,5
6637828021,3,7
6636509721,2,6
6636509721,1,7
6636509721,4,7
